,Sl No,Company Name,Role Offered,Unnamed: 3,153,Unnamed: 5,Stipend per month,CTC in Lakhs,No. of Registered,No. of students placed,Degree & Branches Eligible,Remarks
0,,,Internship,Full time,Starting Date,Closing Date,,,,,,
1,1.0,GE Digital,Digital Technology Intern,Software Engineering specialist,2022-07-12 00:00:00,2022-07-13 00:00:00,40K-B.Tech / 45K-M.Tech,17,80.0,1.0,B.Tech / M.Tech / DD - CSE only,Internship cum likely PPO
2,2.0,Boltzmann Labs,Software Intern,,2022-07-12 00:00:00,2022-07-13 00:00:00,20K,2023-06-09 00:00:00,63.0,4.0,B.Tech / M.Tech / DD - CSE,Internship cum likely PPO
3,3.0,Autowiz,Backend Platform Engineer Intern,Backend Engineer,2022-07-13 00:00:00,2022-07-14 00:00:00,15K - 20K,,25.0,1.0,B.Tech / M.Tech / DD - CSE,Internship cum likely PPO
4,4.0,ZF Rane,,,2022-07-13 00:00:00,2022-07-14 00:00:00,,5.5,28.0,6.0,"M.Tech / DD - MECH, MSM",Internship cum likely PPO
5,5.0,Cloudlex 2023,Software Engineer Trainee,Software Engineer - Full Stack,2022-07-14 00:00:00,2022-07-15 00:00:00,30K,6.5 - 15,30.0,,B.Tech / M.Tech / DD - CSE,Internship cum likely PPO
6,6.0,Infosys - 1,,Specialist Programmer / Digital Specialist Engineer,2022-07-06 00:00:00,2022-07-10 00:00:00,,9.5 / 6.25,121.0,,"B.Tech / M.Tech / DD - CSE, ECE",Full time offer
7,7.0,Infosys - 2,,System Engineer,2022-07-14 00:00:00,2022-07-16 00:00:00,,3.6,86.0,,All branches,Full time offer
8,8.0,Optiply,Integrations Developer Intern / Troubleshooting Engineer Intern,Algorithm Developer / Integrations Developer / Troubleshoorting Engineer,2022-07-20 00:00:00,2022-07-29 00:00:00,20K,10 / 8.5 / 8.5,113.0,,"M.Tech / DD - CSE, Smart Manufacturing",
9,9.0,Vassarlabs,,,2022-07-20 00:00:00,2022-07-21 00:00:00,,2023-06-09 00:00:00,31.0,,"B.Tech / M.Tech - CSE, ECE",Full time offer
10,10.0,AMD,,University relations lead,2022-07-21 00:00:00,2022-07-22 00:00:00,,19.2,77.0,,"M.Tech / DD - CSE, ECE",Full time offer
11,11.0,Aqfer Start Smart Labs,,Software Developer,2022-07-20 00:00:00,2022-07-22 00:00:00,,11,42.0,,B.Tech / M.Tech / DD - CSE,Full time offer
12,12.0,IBM,,Software Developer,2022-07-21 00:00:00,2022-07-25 00:00:00,30K-B.Tech / 40K-M.Tech,7.25,67.0,1.0,"B.Tech / M.Tech / DD - CSE, ECE",Internship cum PPO
13,13.0,Loyalty Juggernaut,,Product Engineer,2022-07-21 00:00:00,2022-07-22 00:00:00,,10,83.0,,B.Tech / M.Tech - CSE,Full time offer
14,14.0,Capgemini 2023,,,,,,,0.0,,,
15,15.0,LatentView,,"Analyst L1 - High, Entry",2022-07-26 00:00:00,2022-07-27 00:00:00,,9 / 6.5,143.0,,All branches,Full time offer
16,16.0,MulticoreWare,,Software Engineer,2022-07-26 00:00:00,2022-07-27 00:00:00,,7.2 / 10.2,35.0,,"B.Tech / M.Tech / DD - CSE, ECE",Full time offer
17,17.0,E-Con Systems,,Project Engineer Trainee (Software/Hardware),2022-07-26 00:00:00,2022-07-28 00:00:00,,2023-05-08 00:00:00,67.0,,B.Tech / M.Tech / DD - CSE,Full time offer
18,18.0,Trimble 2023,Software Intern,Software Developer,2022-07-27 00:00:00,2022-07-28 00:00:00,25K,12,36.0,,M.Tech / DD - CSE,Internship and Full time offer
19,19.0,Gameskraft 2023,,Software Engineer,2022-07-27 00:00:00,2022-07-28 00:00:00,,37,116.0,0.0,"B.Tech / DD - CSE, ECE",Full time offer
20,20.0,ATIUM,,,2022-07-27 00:00:00,2022-07-27 00:00:00,,,33.0,,All branches,Internship offer
21,21.0,GoodWorker,,Software Development Engineer 1,2022-07-27 00:00:00,2022-07-28 00:00:00,,15 - 20,58.0,,"B.Tech - CSE, ECE",Full time offer
22,22.0,Publicis Sapient 2023,,Trainee Engineer,2022-08-02 00:00:00,2022-08-03 00:00:00,,8.4,85.0,,"B.Tech / DD - CSE, ECE, Smart Manufacturing",Full time offer
23,23.0,Siemens,,GTE,2022-06-23 00:00:00,2022-08-18 00:00:00,,,31.0,,,
24,24.0,Newzera,Software Engineer (ML) Intern,Software Engineer (ML),,,,,0.0,,,
25,25.0,Mu-Sigma,Trainee Decision Scientist,Trainee Decision Scientist,2022-06-16 00:00:00,2022-08-06 00:00:00,,,129.0,,,
26,26.0,Entrayn,,,2022-08-10 00:00:00,2022-08-11 00:00:00,,,65.0,,,
27,27.0,Shopconnect / Nvipani,Developer - Intern,Developer,2022-08-10 00:00:00,,,,,,,
28,28.0,Krisam Automation,,,,,,5.2,,,,
29,29.0,Quantrium,"ML Intern / SE (Backend & Frontend) Intern, SDET Intern","ML Engineer, Software Engineer (Backend & Frontend), SDET",2022-08-23 00:00:00,,25K - 30K,10.1,,,All branches,Internship and Full time offer
30,30.0,Futuristic labs,,,,,,,,,,
31,31.0,Josh Technology,,,,,,,,,,
32,32.0,Media.Net,,,2022-08-29 00:00:00,2022-09-02 00:00:00,,,115.0,,"B.Tech /M-Tech / DD - CSE, ECE, Smart Manufacturing",
33,33.0,Securekloud Technologies,,,,,,,,,,
34,34.0,Radisys,,Software Engineer,2022-09-02 00:00:00,2022-09-05 00:00:00,,11.5,,,"B.Tech/M.Tech/DD-CSE,ECE",FTO
35,35.0,DeltaX,,Associate Product Engineer,2022-09-06 00:00:00,2022-09-09 00:00:00,10k,7,43.0,,"B.Tech-CSC,ECE,MSM",Internship and Full time offer
36,36.0,Microchip,,Corporate Applications Enginee/Salesforce Software Engineer,2022-09-08 00:00:00,2022-09-12 00:00:00,,,67.0,,,
37,37.0,MicroGo,,,,,,,,,,
38,38.0,centre industry 4.0,,Intern,2022-09-12 00:00:00,,12k~15k,,,,B.Tech - Mechanical,Internship
39,39.0,Loyalty Juggernaut,,Product Engineer,2022-09-12 00:00:00,,,6~8,,,B.Tech -NON CSE,Full time
40,40.0,MBit Wireless,,,,2022-09-13 00:00:00,,,,,,
41,41.0,TVS Motors,,,,,,,,,,
42,42.0,Nokia,,,,,,,,,,
43,43.0,Truminds,,,,,,,,,,
44,44.0,Apollo Tyres,,,,,,,,,,
45,45.0,Edfore,,,,,,,,,,
46,46.0,Thrillophilia,,,,,,,,,,
47,47.0,Renault Nissan,,,,,,,,,,
48,48.0,Triedge,,,,,,,,,,
49,49.0,5G Advanced Project,,,,,,,,,,
50,50.0,LLM,,,,,,,,,,
51,51.0,Valeo,,,,,,,,,,
52,52.0,ABB,,,,,,,,,,
53,53.0,Reliance Jio Platforms,,,,,,,,,,
54,54.0,Ignitarium,,,,,,,,,,
55,55.0,Danlaw Inc,,,,,,,,,,
56,56.0,LTTS,,,,,,,,,,
57,57.0,Power Play,,,,,,,,,,
58,58.0,Switcing Battery,,,,,,,,,,
59,59.0,Focus Energy,,,,,,,,,,
60,60.0,Ankidyne,,,,,,,,,,
61,61.0,Urjita Electronics,,,,,,,,,,
62,62.0,Contentstack,,,,,,,,,,
63,63.0,Raja Software Labs,,,,,,,,,,
64,64.0,NxtWave Technologies,,,,,,,,,,
65,65.0,Lekha Wireless Technology Solutions,,,,,,,,,,
66,66.0,Hexaware Technologies,,,,,,,,,,
67,67.0,BeeHyv Software solutions,,,,,,,,,,
68,68.0,TheRightDoctors,,,,,,,,,,
69,69.0,Signalchip Innovations',,,,,,,,,,
70,70.0,Wiley Edge,,,,,,,,,,
71,71.0,DotPe,,,,,,,,,,
72,72.0,Automation Edge,,,,,,,,,,
73,73.0,Coverfox,,,,,,,,,,
74,74.0,Nubdgrove Technologies,,,,,,,,,,
75,75.0,Aspire Infolabs,,,,,,,,,,
76,76.0,Moneyapp,,,,,,,,,,
77,77.0,Edvizo,,,,,,,,,,
78,78.0,LatentView Data Analyst,,,,,,,,,,
79,79.0,TCS INI,,,,,,,,,,
80,80.0,MovInSync,,,,,,,,,,
81,81.0,SAMA NextGen India,,,,,,,,,,
82,82.0,ElectricPe,,,,,,,,,,
83,83.0,Brakes India,,,,,,,,,,
84,84.0,Lokal APP,,,,,,,,,,
85,85.0,SVP Lasers,,,,,,,,,,
86,86.0,Vestas,,,,,,,,,,
87,87.0,Showtime Consultancy,,,,,,,,,,
88,88.0,Velozity Global Solutions,,,,,,,,,,
89,89.0,MoveInSync,,,,,,,,,,
90,90.0,Tvasta Manufacturing solutions Pvt Ltd,,,,,,,,,,
91,91.0,Mercedece-Benz R&D,,,,,,,,,,
92,92.0,Agnikul Cosmos,,,,,,,,,,
93,93.0,CodeYoung,,,,,,,,,,
94,94.0,Planet Spark,,,,,,,,,,
95,95.0,Silvermine,,,,,,,,,,
96,96.0,Marvell,,,,,,,,,,
97,97.0,congruent,,,,,,,,,,
98,98.0,Propelld,,,,,,,,,,
99,99.0,Tube Investments,,,,,,,,,,
100,100.0,BMW,Specialist Technical Planning,,,,,6-6.5,,,,
101,101.0,Knest Manufactures,,,,,,,,,,
102,102.0,TuTr Hyperloop,,,,,,,,,,
103,103.0,Titan,,,,,,,,,,
104,104.0,Sundaram Fasterners Ltd,,,,,,,,,,
105,105.0,Bharat Electronics Ltd,,,,,,,,,,
106,106.0,GKN Space,,,,,,,,,,
107,107.0,Regami Solutions,,,,,,,,,,
108,108.0,CISCO,,,,,,,,,,
109,109.0,Renault,,,,,,,,,,
110,110.0,BMW,Technical Project Manager,,,,,,,,,
111,111.0,Aliens Group,,,,,,,,,,
112,112.0,VisAi,Project Engineer Trainee,,,,,,,,,
113,113.0,Intellect Design,,,,,,,,,,
114,114.0,GE TechGig,,,,,,,,,,
115,115.0,congruent,,,,,,,,,,
116,116.0,Philips,,,,,,,,,,
117,117.0,Renault Nissan,,,,,,,,,,
118,118.0,DHL,,,,,,,,,,
119,119.0,Analog Devices,,,,,,,,,,
120,120.0,Antino Labs,,,,,,,,,,
121,121.0,Ankidyne,,,,,,,,,,
122,122.0,Growth Jockey Private Limited.,,,,,,,,,,
123,123.0,adenza,,,,,,,,,,
124,124.0,Intellipat,,,,,,,,,,
125,125.0,Mediatek,,,,,,,,,,
126,126.0,Primesoc Technologies,,,,,,,,,,
127,127.0,Innerscore,,,,,,,,,,
128,128.0,Edveon Technologies.,,,,,,,,,,
129,129.0,Saint Gobain,,,,,,,,,,
130,130.0,Nectar,,,,,,,,,,
131,131.0,Unistring,,,,,,,,,,
132,132.0,Zoho,,,,,,,,,,
133,133.0,Vignaan University,,,,,,,,,,
134,134.0,Avay Biosciences,,,,,,,,,,
135,135.0,Presidency University,,,,,,,,,,
136,136.0,Synapse Techno Design Innovations Pvt. Ltd.,,,,,,,,,,
137,137.0,Tvasta Manufacturing solutions Pvt Ltd,,,,,,,,,,
138,138.0,Akash Byjus,,,,,,,,,,
139,139.0,SR Patel Engineering College.,,,,,,,,,,
140,140.0,Gainwell Technologies,,,,,,,,,,
141,141.0,Cuvette Tech,,,,,,,,,,
142,142.0,Afitech,,,,,,,,,,
143,143.0,Sense,,,,,,,,,,
144,144.0,Aon's Assessment Solutions,,,,,,,,,,
145,145.0,Comporo Technologies,,,,,,,,,,
146,146.0,SoftTech Engineers Limited.,,,,,,,,,,
147,147.0,Amazon,,,,,,,,,,
148,148.0,Virtusa Consulting Services Pvt Ltd,,,,,,,,,,
149,149.0,Arcesium,,,,,,,,,,
150,150.0,GYAN DATA PVT LTD,,,,,,,,,,
151,151.0,McKinley Rice,,,,,,,,,,
152,152.0,Silver Touch Technologies Ltd.,,,,,,,,,,
153,153.0,Strategic Research Insights(SRI),,,,,,,,,,
154,154.0,Anaxee Digital Runners Pvt. Ltd,,,,,,,,,,
155,155.0,Visa india,,,,,,,,,,
156,156.0,Systematic equities,,,,,,,,,,
157,157.0,GAVS Technologies,,,,,,,,,,
158,158.0,Facilio Technology Solutions,,,,,,,,,,
159,159.0,ADF Data science Private Limited,,,,,,,,,,
160,160.0,ThinkGrid,,,,,,,,,,
161,161.0,Edfora Infotech Pvt Ltd,,,,,,,,,,
162,162.0,Skyll Lync,,,,,,,,,,
163,163.0,BMW ECE role,,,,,,,,,,
164,164.0,Tube Investments (Training- Project Engineer ),,,,,,,,,,
165,165.0,Planet Spark (second time),,,,,,,,,,
166,166.0,Lokesh Machines Limited,,,,,,,,,,
167,167.0,My buddies,,,,,,,,,,
168,168.0,Vestas,,,,,,,,,,
